S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
884,2022-07-28,Thursday,Salasar Highway,Rajasthan,"28.004360488461323, 74.94392415519748",28.004360488461323,74.94392415519748,NH,Others,1,0,Two Wheeler,SUV,Nil
885,2022-07-30,Saturday,Kinhauli,Uttar Pradesh,"27.01673689850753, 81.33913243597577",27.01673689850753,81.33913243597577,OR,Head On Collision ,5,0,Two Wheeler,Two Wheeler,Nil
886,2022-07-30,Saturday,Chinnar Bridge,Tamil Nadu,"10.353407760645622, 77.2196448074345",10.353407760645622,77.2196448074345,SH,With Parked Vehicle,2,3,Bus,Truck,Nil
887,2022-07-30,Saturday,Sector 12 Panchkula,Haryana,"30.67837434350798, 76.86002240403681",30.67837434350798,76.86002240403681,NH,Hit From Back,2,1,Two Wheeler,Truck,Nil
888,2022-07-30,Saturday,Bhattanagar,West Bengal,"22.622898612019217, 88.32155145335402",22.622898612019217,88.32155145335402,OR,Hit From Back,1,0,Bicycle,Truck,Kolkata
889,2022-07-31,Sunday,Tiuni,Uttarakhand,"30.939362031695072, 77.84815764793379",30.939362031695072,77.84815764793379,NH,Vehicle Overturn,3,0,Pick Up,Gorge,Nil
890,2022-07-31,Sunday,Tiuni Bridge,Uttarakhand,"30.945197917122762, 77.8515850791922",30.945197917122762,77.8515850791922,NH,Fixed Object Collision,1,1,Two Wheeler,Railing,Nil
891,2022-07-30,Saturday,Paddapai,Tamil Nadu,"12.888856784533612, 80.02941404006906",12.888856784533612,80.02941404006906,SH,Hit From Side,2,1,Two Wheeler,Car,Nil
892,2022-08-01,Monday,Swala,Uttarakhand,"29.260722990772237, 80.07439203496646",29.260722990772237,80.07439203496646,NH,Vehicle Overturn,1,1,Car,Gorge,Nil
893,2022-08-01,Monday,Shamshabad,Telangana,"17.255340256368513, 78.38134141799141",17.255340256368513,78.38134141799141,NH,Fixed Object Collision,1,2,Car,Divider,Hyderabad
894,2022-08-01,Monday,Swarag Dham Ashram,Madhya Pradesh,"23.254865875546862, 77.57396822342128",23.254865875546862,77.57396822342128,NH,Head On Collision ,1,0,Two Wheeler,Truck,Nil
895,2022-08-02,Tuesday,Navelim,Goa,"15.252273017920528, 73.96876094773741",15.252273017920528,73.96876094773741,NH,Fixed Object Collision,2,3,Car,Divider,Nil
896,2022-08-02,Tuesday,Cherry County,Uttar Pradesh,"28.601264171951183, 77.44802114044302",28.601264171951183,77.44802114044302,OR,Head On Collision ,1,2,Two Wheeler,Car,Nil
897,2022-08-03,Wednesday,Bahuara Chowk,Bihar,"25.84611417232703, 85.5986218975968",25.84611417232703,85.5986218975968,SH,Hit and Run,5,7,Pedestrian,Truck,Nil
898,2022-08-03,Wednesday,Ladhowal Flyover,Punjab,"30.904602329383014, 75.85365454882526",30.904602329383014,75.85365454882526,OR,With Parked Vehicle,1,0,Two Wheeler,Truck,Ludhiana
899,2022-08-03,Wednesday,Jugiyana,Punjab,"30.851348195494523, 75.94820155476005",30.851348195494523,75.94820155476005,SH,Others,1,1,Two Wheeler,Truck,Ludhiana
900,2022-08-02,Tuesday,Bherughat,Madhya Pradesh,"22.480575141185227, 75.94390693213485",22.480575141185227,75.94390693213485,SH,Others,1,4,Car,Truck,Nil
901,2022-08-03,Wednesday,Mahape Bridge,Maharashtra,"19.11412300743629, 73.01796579551088",19.11412300743629,73.01796579551088,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Mumbai
902,2022-08-03,Wednesday,Hotel Gammat Jammat,Maharashtra,"20.033798280047844, 73.68825716693007",20.033798280047844,73.68825716693007,OR,Hit and Run,1,6,SUV,Wall,Nil
903,2022-08-04,Thursday,Kella ,Jammu,"32.83851227320035, 75.39320954302856",32.83851227320035,75.39320954302856,OR,Vehicle Overturn,5,12,Truck,Gorge,Nil
904,2022-08-04,Thursday,Jaleelpur Road,Uttar Pradesh,"29.142339160066125, 78.2697179981714",29.142339160066125,78.2697179981714,SH,Fixed Object Collision,3,2,Car,Tree,Nil
905,2022-08-04,Thursday,Bhootpuri,Uttar Pradesh,"29.322011984558028, 78.65378108142265",29.322011984558028,78.65378108142265,NH,Others,2,0,Two Wheeler,Car,Nil
906,2022-08-05,Friday,Ankinayanapalli,Tamil Nadu,"12.53456018087644, 78.39113093997939",12.53456018087644,78.39113093997939,SH,Hit and Run,4,0,Pedestrian,Car,Nil
907,2022-08-04,Thursday,Koduvai,Tamil Nadu,"10.938561165704384, 77.44021576561727",10.938561165704384,77.44021576561727,NH,Head On Collision ,5,1,SUV,Bus,Nil
